timestamp,open,high,low,close,volume,spread
2023-01-01T22:00:00Z,1.0697,1.07066,1.06899,1.06899,35.54,0.0019199999999999218
2023-01-01T22:15:00Z,1.06788,1.06788,1.06788,1.06788,6.3,0.0032600000000000406
2023-01-01T22:30:00Z,1.06904,1.06958,1.06904,1.06956,99.36,0.0006199999999998429
2023-01-01T22:45:00Z,1.06962,1.07061,1.06823,1.06929,2336.22,0.0011200000000000099
2023-01-01T23:00:00Z,1.06896,1.0704,1.06829,1.06895,379.32,0.0011200000000000099
2023-01-01T23:15:00Z,1.06933,1.07047,1.06849,1.0695,909.72,0.001000000000000112
2023-01-01T23:30:00Z,1.0695,1.06997,1.06923,1.06944,2700.0,0.0011200000000000099
2023-01-01T23:45:00Z,1.06947,1.07012,1.06942,1.07005,943.92,0.0011200000000000099
2023-01-02T00:00:00Z,1.07007,1.07034,1.06994,1.07,521.64,0.0010999999999998789
2023-01-02T00:15:00Z,1.07006,1.07007,1.06948,1.06977,772.22,0.00046999999999997044
2023-01-02T00:30:00Z,1.06975,1.07018,1.06912,1.06949,1190.79,0.0010599999999998388
2023-01-02T00:45:00Z,1.06949,1.07058,1.06942,1.0704,1037.48,0.0006099999999999994
2023-01-02T01:00:00Z,1.07041,1.07087,1.07028,1.07038,80.17,0.0006699999999999484
2023-01-02T01:15:00Z,1.07045,1.07047,1.07026,1.07029,75.32,0.0007099999999999884
2023-01-02T01:30:00Z,1.07029,1.07046,1.07013,1.07013,116.23,0.00048000000000003595
2023-01-02T01:45:00Z,1.07012,1.07035,1.06919,1.06977,160.56,0.0005099999999997884
2023-01-02T02:00:00Z,1.06977,1.06977,1.06862,1.06877,358.46,0.0008099999999999774
2023-01-02T02:15:00Z,1.06877,1.06917,1.06877,1.06909,282.22,0.0009899999999998244
2023-01-02T02:30:00Z,1.06909,1.06915,1.06888,1.06902,460.44,0.0011200000000000099
2023-01-02T02:45:00Z,1.06909,1.06925,1.0688,1.06904,480.18,0.001000000000000112
2023-01-02T03:00:00Z,1.06904,1.06905,1.06892,1.06896,821.96,0.0009000000000001229
