timestamp,open,high,low,close,volume,spread
2023-01-01T22:00:00Z,1.0697,1.07066,1.06788,1.06929,2477.42,0.0011200000000000099
2023-01-01T23:00:00Z,1.06896,1.07047,1.06829,1.07005,4932.96,0.0011200000000000099
2023-01-02T00:00:00Z,1.07007,1.07058,1.06912,1.0704,3522.13,0.0006099999999999994
2023-01-02T01:00:00Z,1.07041,1.07087,1.06919,1.06977,432.28,0.0005099999999997884
2023-01-02T02:00:00Z,1.06977,1.06977,1.06862,1.06904,1581.3,0.001000000000000112
2023-01-02T03:00:00Z,1.06904,1.07027,1.06886,1.06899,2716.1,0.0011199999999997878
2023-01-02T04:00:00Z,1.06896,1.0702,1.06887,1.06993,5497.87,0.0005399999999999849
2023-01-02T05:00:00Z,1.06994,1.06997,1.06872,1.06938,2880.01,0.0006200000000000649
2023-01-02T06:00:00Z,1.06943,1.06996,1.06741,1.06894,3402.87,0.0006200000000000649
2023-01-02T07:00:00Z,1.06891,1.06922,1.06632,1.06786,9999.77,0.00019999999999997797
2023-01-02T08:00:00Z,1.06794,1.06971,1.06712,1.0679,12153.07,0.00010999999999983245
2023-01-02T09:00:00Z,1.06791,1.06994,1.06766,1.06786,11658.43,9.999999999998899e-05
2023-01-02T10:00:00Z,1.06786,1.06896,1.06743,1.06833,5019.83,9.999999999998899e-05
2023-01-02T11:00:00Z,1.06833,1.06864,1.068,1.06842,3199.84,0.0001100000000000545
2023-01-02T12:00:00Z,1.06841,1.0687,1.06763,1.06822,4065.64,5.999999999994898e-05
2023-01-02T13:00:00Z,1.06822,1.06863,1.0677,1.06784,4702.53,9.999999999998899e-05
2023-01-02T14:00:00Z,1.06783,1.06819,1.06702,1.06722,4346.57,0.00011999999999989797
2023-01-02T15:00:00Z,1.06723,1.06739,1.0658,1.066,4860.66,9.999999999998899e-05
2023-01-02T16:00:00Z,1.06598,1.06705,1.0651,1.06545,9419.14,0.000180000000000069
2023-01-02T17:00:00Z,1.06545,1.06619,1.06539,1.06599,6005.49,0.00011999999999989797
2023-01-02T18:00:00Z,1.06601,1.06606,1.06508,1.06519,6279.9,0.000140000000000029
2023-01-02T19:00:00Z,1.0652,1.06586,1.06499,1.06561,1491.74,0.0003900000000001125
2023-01-02T20:00:00Z,1.0656,1.06697,1.06546,1.0663,8741.79,0.0005399999999999849
2023-01-02T21:00:00Z,1.0663,1.06725,1.06593,1.06646,3901.17,0.000520000000000076
2023-01-02T22:00:00Z,1.06646,1.06653,1.06627,1.06634,681.6,0.0006199999999998429
2023-01-02T23:00:00Z,1.06652,1.06833,1.06499,1.06765,16056.33,5.0000000000105516e-05
2023-01-03T00:00:00Z,1.06764,1.06783,1.06666,1.06704,12331.48,5.0000000000105516e-05
2023-01-03T01:00:00Z,1.06703,1.06741,1.06503,1.06597,21817.06,5.999999999994898e-05
2023-01-03T02:00:00Z,1.06597,1.06776,1.06575,1.06763,13008.5,5.999999999994898e-05
2023-01-03T03:00:00Z,1.06763,1.06783,1.06688,1.06722,9479.57,4.999999999988347e-05
2023-01-03T04:00:00Z,1.06722,1.06801,1.06669,1.06672,5399.21,4.0000000000040004e-05
2023-01-03T05:00:00Z,1.06673,1.06706,1.06589,1.06634,13431.8,4.999999999988347e-05
2023-01-03T06:00:00Z,1.06633,1.06676,1.06513,1.06521,13234.15,5.0000000000105516e-05
2023-01-03T07:00:00Z,1.06525,1.06585,1.06199,1.06236,22707.55,4.0000000000040004e-05
2023-01-03T08:00:00Z,1.06237,1.06282,1.05506,1.05517,46672.28,5.999999999994898e-05
2023-01-03T09:00:00Z,1.05518,1.05609,1.05339,1.05473,43667.95,5.0000000000105516e-05
2023-01-03T10:00:00Z,1.05474,1.05547,1.05252,1.05308,31343.19,4.999999999988347e-05
2023-01-03T11:00:00Z,1.05309,1.05359,1.05194,1.05282,22413.82,4.999999999988347e-05
2023-01-03T12:00:00Z,1.05281,1.05491,1.05238,1.05355,20857.63,5.0000000000105516e-05
2023-01-03T13:00:00Z,1.05354,1.05697,1.05303,1.056,33079.7,4.999999999988347e-05
2023-01-03T14:00:00Z,1.05599,1.05973,1.05554,1.05739,40254.3,5.999999999994898e-05
2023-01-03T15:00:00Z,1.05742,1.05818,1.05544,1.05554,46211.0,2.999999999997449e-05
2023-01-03T16:00:00Z,1.05554,1.05586,1.05371,1.05579,35820.69,4.999999999988347e-05
2023-01-03T17:00:00Z,1.05579,1.05589,1.05401,1.0546,20670.79,4.0000000000040004e-05
2023-01-03T18:00:00Z,1.0546,1.05605,1.0543,1.05563,15136.76,4.999999999988347e-05
2023-01-03T19:00:00Z,1.05564,1.05681,1.0555,1.05662,17830.23,4.0000000000040004e-05
2023-01-03T20:00:00Z,1.05664,1.05688,1.05505,1.05514,16550.97,4.0000000000040004e-05
2023-01-03T21:00:00Z,1.05514,1.05537,1.0546,1.05466,3983.64,0.000260000000000149
2023-01-03T22:00:00Z,1.05461,1.0548,1.0545,1.05474,7989.24,0.00018999999999991246
2023-01-03T23:00:00Z,1.05474,1.05542,1.05403,1.05455,10254.26,1.999999999990898e-05
2023-01-04T00:00:00Z,1.05453,1.0561,1.0545,1.05579,11795.7,5.999999999994898e-05
2023-01-04T01:00:00Z,1.0558,1.05695,1.05569,1.05667,13425.75,5.0000000000105516e-05
2023-01-04T02:00:00Z,1.05666,1.05692,1.05614,1.05647,9573.61,5.999999999994898e-05
2023-01-04T03:00:00Z,1.05648,1.05697,1.05647,1.05687,5333.15,5.0000000000105516e-05
2023-01-04T04:00:00Z,1.05688,1.05743,1.05658,1.05727,6139.13,6.000000000017103e-05
2023-01-04T05:00:00Z,1.05726,1.05784,1.05644,1.05691,10793.93,2.999999999997449e-05
2023-01-04T06:00:00Z,1.05691,1.05749,1.05594,1.057,12589.15,5.0000000000105516e-05
2023-01-04T07:00:00Z,1.05698,1.06057,1.05667,1.05937,21754.11,5.0000000000105516e-05
2023-01-04T08:00:00Z,1.05938,1.06354,1.059,1.06157,29527.57,6.000000000017103e-05
2023-01-04T09:00:00Z,1.06157,1.06299,1.06054,1.06106,15640.78,5.0000000000105516e-05
