pair,timestamp,score,gross_r,net_r,exit_reason
GBP/USD,2019-03-19T09:15:00+00:00,67.78,1.5,1.4194,take_profit
USD/JPY,2019-03-19T10:45:00+00:00,76.51,-1.0,-1.0096,stop_loss
GBP/USD,2019-03-19T11:00:00+00:00,77.18,-1.0,-1.0127,stop_loss
USD/JPY,2019-03-19T13:45:00+00:00,70.63,-1.0,-1.0422,stop_loss
EUR/USD,2019-03-19T14:45:00+00:00,73.38,0.3899,0.3599,time_exit
GBP/USD,2019-03-19T14:45:00+00:00,72.82,0.2003,0.163,time_exit
USD/JPY,2019-03-19T14:45:00+00:00,70.55,-0.2623,-0.2804,time_exit
USD/CHF,2019-03-19T15:30:00+00:00,69.81,-0.2828,-0.3457,time_exit
EUR/USD,2019-03-20T00:00:00+00:00,70.18,-1.0,-1.0244,stop_loss
USD/JPY,2019-03-20T00:00:00+00:00,70.08,1.5,1.4849,take_profit
USD/JPY,2019-03-20T02:00:00+00:00,65.35,0.6534,0.6292,time_exit
EUR/USD,2019-03-20T09:00:00+00:00,67.59,1.5,1.4707,take_profit
EUR/USD,2019-03-20T10:30:00+00:00,70.38,1.5,1.4772,take_profit
USD/JPY,2019-03-20T11:30:00+00:00,66.62,-1.0,-1.0178,stop_loss
GBP/USD,2019-03-20T12:00:00+00:00,68.58,-1.0,-1.0433,stop_loss
GBP/USD,2019-03-20T12:30:00+00:00,67.87,-1.0,-1.05,stop_loss
GBP/USD,2019-03-20T13:00:00+00:00,65.41,1.5,1.4616,take_profit
USD/CHF,2019-03-20T14:15:00+00:00,72.11,1.5,1.4448,take_profit
GBP/USD,2019-03-20T17:15:00+00:00,66.92,1.5,1.4624,take_profit
USD/CAD,2019-03-21T03:15:00+00:00,65.95,-1.0,-1.0503,stop_loss
EUR/USD,2019-03-21T05:00:00+00:00,70.75,-1.0,-1.032,stop_loss
GBP/USD,2019-03-21T08:30:00+00:00,66.65,-1.0,-1.0375,stop_loss
EUR/USD,2019-03-21T09:15:00+00:00,71.53,-1.0,-1.0191,stop_loss
USD/CAD,2019-03-21T12:00:00+00:00,65.91,-1.0,-1.076,stop_loss
EUR/USD,2019-03-21T13:30:00+00:00,71.45,-1.0,-1.0379,stop_loss
USD/JPY,2019-03-22T00:45:00+00:00,71.89,1.5,1.4918,take_profit
EUR/USD,2019-03-22T04:45:00+00:00,66.73,-1.0,-1.0725,stop_loss
GBP/USD,2019-03-22T07:00:00+00:00,69.19,-1.0,-1.0755,stop_loss
EUR/USD,2019-03-22T07:30:00+00:00,65.95,1.5,1.4892,take_profit
USD/CHF,2019-03-22T07:45:00+00:00,65.27,-1.0,-1.122,stop_loss
GBP/USD,2019-03-22T08:15:00+00:00,68.39,1.5,1.4126,take_profit
USD/CAD,2019-03-22T08:45:00+00:00,65.95,1.5,1.4131,take_profit
USD/JPY,2019-03-22T08:45:00+00:00,74.04,1.5,1.4911,take_profit
GBP/USD,2019-03-22T09:30:00+00:00,79.62,-1.0,-1.0136,stop_loss
GBP/USD,2019-03-22T11:45:00+00:00,71.05,-1.0,-1.0394,stop_loss
USD/CAD,2019-03-22T12:00:00+00:00,70.44,0.4164,0.3994,time_exit
GBP/USD,2019-03-22T13:15:00+00:00,68.09,-1.0,-1.0387,stop_loss
AUD/USD,2019-03-22T15:00:00+00:00,68.93,0.1808,0.1447,time_exit
GBP/USD,2019-03-22T15:00:00+00:00,70.26,-1.0,-1.0178,stop_loss
GBP/USD,2019-03-22T18:45:00+00:00,66.1,0.4814,0.4417,time_exit
EUR/USD,2019-03-25T01:00:00+00:00,73.4,-1.0,-1.0356,stop_loss
USD/JPY,2019-03-25T04:00:00+00:00,69.86,-1.0,-1.0131,stop_loss
EUR/USD,2019-03-25T06:15:00+00:00,69.07,-1.0,-1.0262,stop_loss
EUR/USD,2019-03-25T08:00:00+00:00,74.25,-1.0,-1.0288,stop_loss
USD/CAD,2019-03-25T08:45:00+00:00,65.55,-1.0,-1.1054,stop_loss
USD/JPY,2019-03-25T10:15:00+00:00,74.76,1.5,1.4906,take_profit
EUR/USD,2019-03-25T10:30:00+00:00,72.03,-1.0,-1.0418,stop_loss
USD/CAD,2019-03-25T10:30:00+00:00,69.0,1.5,1.3974,take_profit
USD/CAD,2019-03-25T11:30:00+00:00,73.4,-1.0,-1.0425,stop_loss
GBP/USD,2019-03-25T12:00:00+00:00,68.0,1.5,1.447,take_profit
USD/CHF,2019-03-25T12:15:00+00:00,73.28,0.3284,0.2515,time_exit
USD/JPY,2019-03-25T12:45:00+00:00,76.37,1.5,1.4895,take_profit
EUR/USD,2019-03-25T13:15:00+00:00,74.58,-1.0,-1.0186,stop_loss
AUD/USD,2019-03-25T15:30:00+00:00,66.95,-0.4725,-0.5815,time_exit
EUR/USD,2019-03-25T15:45:00+00:00,73.05,0.3818,0.3645,time_exit
USD/CAD,2019-03-25T15:45:00+00:00,70.78,-1.0,-1.0495,stop_loss
GBP/USD,2019-03-25T17:15:00+00:00,68.09,1.5,1.4674,take_profit
USD/JPY,2019-03-25T18:15:00+00:00,74.25,-1.0,-1.0107,stop_loss
USD/JPY,2019-03-26T01:30:00+00:00,71.63,-1.0,-1.0314,stop_loss
EUR/USD,2019-03-26T04:00:00+00:00,67.1,1.5,1.4348,take_profit
EUR/USD,2019-03-26T05:45:00+00:00,67.01,-1.0,-1.0357,stop_loss
GBP/USD,2019-03-26T09:00:00+00:00,67.97,-1.0,-1.0342,stop_loss
USD/JPY,2019-03-26T09:30:00+00:00,68.92,-1.0,-1.0198,stop_loss
AUD/USD,2019-03-26T10:00:00+00:00,66.64,1.5,1.4297,take_profit
EUR/USD,2019-03-26T10:15:00+00:00,66.21,1.5,1.4507,take_profit
GBP/USD,2019-03-26T10:15:00+00:00,68.46,0.9617,0.9043,time_exit
EUR/USD,2019-03-26T12:15:00+00:00,76.19,1.5,1.475,take_profit
USD/JPY,2019-03-26T12:45:00+00:00,71.98,0.4575,0.4459,time_exit
AUD/USD,2019-03-26T17:15:00+00:00,71.82,-1.0,-1.0826,stop_loss
GBP/USD,2019-03-26T19:45:00+00:00,65.57,-1.0,-1.0668,stop_loss
EUR/USD,2019-03-26T20:00:00+00:00,74.54,0.3513,0.3334,time_exit
EUR/USD,2019-03-27T05:15:00+00:00,72.35,-1.0,-1.0151,stop_loss
AUD/USD,2019-03-27T07:45:00+00:00,69.3,1.5,1.4331,take_profit
EUR/USD,2019-03-27T10:15:00+00:00,71.01,1.5,1.4827,take_profit
USD/CAD,2019-03-27T10:15:00+00:00,67.76,1.5,1.4599,take_profit
USD/JPY,2019-03-27T10:45:00+00:00,67.92,0.8809,0.8759,time_exit
EUR/USD,2019-03-27T13:15:00+00:00,77.81,0.3184,0.3108,time_exit
GBP/USD,2019-03-27T14:45:00+00:00,65.28,1.5,1.4386,take_profit
GBP/USD,2019-03-27T15:45:00+00:00,66.15,1.5,1.4566,take_profit
USD/CAD,2019-03-27T16:00:00+00:00,77.2,-1.0,-1.031,stop_loss
GBP/USD,2019-03-27T17:00:00+00:00,67.57,-1.0,-1.0479,stop_loss
USD/CAD,2019-03-27T19:00:00+00:00,68.17,-0.3312,-0.4087,time_exit
GBP/USD,2019-03-27T19:15:00+00:00,67.52,1.5,1.4598,take_profit
USD/JPY,2019-03-27T20:15:00+00:00,66.16,1.5,1.4636,take_profit
EUR/USD,2019-03-27T22:30:00+00:00,70.94,-1.0,-1.0372,stop_loss
USD/JPY,2019-03-28T00:15:00+00:00,67.93,-1.0,-1.0361,stop_loss
USD/JPY,2019-03-28T01:15:00+00:00,66.51,-1.0,-1.0348,stop_loss
USD/JPY,2019-03-28T06:00:00+00:00,75.32,-1.0,-1.0132,stop_loss
GBP/USD,2019-03-28T07:15:00+00:00,68.67,1.5,1.4611,take_profit
EUR/USD,2019-03-28T08:00:00+00:00,78.35,0.1023,0.0987,time_exit
GBP/USD,2019-03-28T08:00:00+00:00,71.41,0.5779,0.5607,time_exit
USD/CAD,2019-03-28T08:00:00+00:00,67.4,-1.0,-1.0452,stop_loss
AUD/USD,2019-03-28T08:30:00+00:00,67.73,-1.0,-1.1274,stop_loss
USD/JPY,2019-03-28T10:00:00+00:00,72.53,-1.0,-1.0145,stop_loss
AUD/USD,2019-03-28T10:30:00+00:00,65.78,1.5,1.3681,take_profit
AUD/USD,2019-03-28T13:15:00+00:00,71.03,1.5,1.4161,take_profit
USD/JPY,2019-03-28T13:15:00+00:00,66.77,-1.0,-1.0299,stop_loss
USD/CAD,2019-03-28T14:30:00+00:00,65.92,1.5,1.4459,take_profit
EUR/USD,2019-03-28T17:15:00+00:00,72.84,0.2864,0.2734,time_exit
GBP/USD,2019-03-28T17:15:00+00:00,73.39,-0.0311,-0.0544,time_exit
GBP/USD,2019-03-29T00:15:00+00:00,67.58,1.5,1.4579,take_profit
EUR/USD,2019-03-29T00:45:00+00:00,69.54,1.5,1.4474,take_profit
USD/JPY,2019-03-29T01:00:00+00:00,65.61,1.5,1.4679,take_profit
EUR/USD,2019-03-29T02:30:00+00:00,68.92,-1.0,-1.0398,stop_loss
GBP/USD,2019-03-29T02:30:00+00:00,65.62,-1.0,-1.083,stop_loss
EUR/USD,2019-03-29T07:30:00+00:00,69.17,1.5,1.4534,take_profit
GBP/USD,2019-03-29T07:30:00+00:00,68.51,1.5,1.3931,take_profit
GBP/USD,2019-03-29T08:00:00+00:00,78.76,-1.0,-1.0164,stop_loss
GBP/USD,2019-03-29T08:15:00+00:00,76.23,-1.0,-1.0123,stop_loss
AUD/USD,2019-03-29T08:45:00+00:00,69.66,-1.0,-1.0684,stop_loss
EUR/USD,2019-03-29T09:45:00+00:00,73.63,-1.0,-1.0137,stop_loss
EUR/USD,2019-03-29T13:00:00+00:00,67.96,0.3711,0.3502,time_exit
GBP/USD,2019-03-29T14:45:00+00:00,67.93,-0.18,-0.1892,time_exit
GBP/USD,2019-04-01T00:00:00+00:00,73.89,-1.0,-1.0288,stop_loss
EUR/USD,2019-04-01T02:45:00+00:00,65.29,-1.0,-1.0343,stop_loss
EUR/USD,2019-04-01T05:30:00+00:00,66.41,1.5,1.4806,take_profit
GBP/USD,2019-04-01T06:00:00+00:00,65.6,-1.0,-1.0844,stop_loss
USD/JPY,2019-04-01T06:15:00+00:00,75.54,-1.0,-1.0266,stop_loss
EUR/USD,2019-04-01T07:15:00+00:00,68.32,-1.0,-1.0431,stop_loss
GBP/USD,2019-04-01T07:15:00+00:00,73.39,-1.0,-1.0396,stop_loss
AUD/USD,2019-04-01T07:45:00+00:00,71.32,-1.0,-1.0476,stop_loss
EUR/USD,2019-04-01T08:45:00+00:00,68.4,1.5,1.4655,take_profit
GBP/USD,2019-04-01T09:00:00+00:00,72.61,-1.0,-1.0495,stop_loss
USD/JPY,2019-04-01T09:15:00+00:00,71.6,-1.0,-1.0339,stop_loss
USD/CAD,2019-04-01T10:45:00+00:00,67.5,-1.0,-1.0816,stop_loss
GBP/USD,2019-04-01T11:00:00+00:00,71.73,1.5,1.4582,take_profit
USD/CAD,2019-04-01T12:45:00+00:00,66.83,1.5,1.4079,take_profit
USD/JPY,2019-04-01T13:15:00+00:00,72.34,1.5,1.4735,take_profit
USD/CAD,2019-04-01T13:30:00+00:00,69.31,1.5,1.4513,take_profit
EUR/USD,2019-04-01T14:00:00+00:00,79.6,0.8056,0.7973,time_exit
USD/JPY,2019-04-01T14:15:00+00:00,74.76,0.5789,0.5712,time_exit
GBP/USD,2019-04-01T15:00:00+00:00,70.68,1.5,1.4768,take_profit
USD/CAD,2019-04-01T17:00:00+00:00,70.28,0.2305,0.2116,time_exit
EUR/USD,2019-04-01T23:15:00+00:00,66.24,1.5,1.4766,take_profit
USD/JPY,2019-04-01T23:30:00+00:00,67.81,-0.5302,-0.5485,time_exit
GBP/USD,2019-04-02T06:45:00+00:00,71.47,0.6776,0.6375,time_exit
EUR/USD,2019-04-02T07:15:00+00:00,78.11,0.1886,0.1709,time_exit
USD/CHF,2019-04-02T07:30:00+00:00,68.28,-1.0,-1.0905,stop_loss
USD/CAD,2019-04-02T08:15:00+00:00,66.12,1.5,1.3743,take_profit
USD/JPY,2019-04-02T08:45:00+00:00,75.29,-1.0,-1.0261,stop_loss
USD/CAD,2019-04-02T11:45:00+00:00,72.25,-1.0,-1.044,stop_loss
AUD/USD,2019-04-02T13:00:00+00:00,70.32,0.3063,0.2411,time_exit
USD/CAD,2019-04-02T15:15:00+00:00,65.24,1.5,1.4521,take_profit
USD/JPY,2019-04-02T15:15:00+00:00,69.73,-1.0,-1.0342,stop_loss
EUR/USD,2019-04-02T16:30:00+00:00,77.5,-1.0,-1.0156,stop_loss
GBP/USD,2019-04-02T16:30:00+00:00,68.51,-1.0,-1.0694,stop_loss
GBP/USD,2019-04-02T17:15:00+00:00,65.17,-1.0,-1.0611,stop_loss
EUR/USD,2019-04-02T17:30:00+00:00,74.47,-1.0,-1.0119,stop_loss
USD/CHF,2019-04-02T17:30:00+00:00,65.51,-1.0,-1.119,stop_loss
GBP/USD,2019-04-02T20:30:00+00:00,66.39,-0.3095,-0.3669,time_exit
EUR/USD,2019-04-03T01:00:00+00:00,66.23,-1.0,-1.0489,stop_loss
USD/JPY,2019-04-03T01:00:00+00:00,67.94,-1.0,-1.0492,stop_loss
EUR/USD,2019-04-03T02:00:00+00:00,65.17,-1.0,-1.0186,stop_loss
USD/CAD,2019-04-03T02:00:00+00:00,71.19,0.2625,0.236,time_exit
GBP/USD,2019-04-03T06:30:00+00:00,66.91,-1.0,-1.0273,stop_loss
USD/JPY,2019-04-03T06:45:00+00:00,72.9,-1.0,-1.0181,stop_loss
EUR/USD,2019-04-03T08:15:00+00:00,70.19,-1.0,-1.033,stop_loss
EUR/USD,2019-04-03T09:00:00+00:00,68.64,-1.0,-1.0104,stop_loss
USD/CAD,2019-04-03T11:15:00+00:00,68.4,-1.0,-1.0888,stop_loss
USD/CAD,2019-04-03T12:30:00+00:00,70.09,-1.0,-1.094,stop_loss
EUR/USD,2019-04-03T13:15:00+00:00,67.64,0.4547,0.4407,time_exit
GBP/USD,2019-04-03T13:45:00+00:00,65.85,1.5,1.3997,take_profit
USD/JPY,2019-04-03T14:15:00+00:00,72.09,-0.1462,-0.1827,time_exit
USD/CAD,2019-04-03T14:30:00+00:00,67.04,-1.0,-1.0739,stop_loss
GBP/USD,2019-04-03T15:45:00+00:00,72.51,0.1277,0.0912,time_exit
USD/JPY,2019-04-04T00:15:00+00:00,67.29,1.5,1.4302,take_profit
GBP/USD,2019-04-04T01:00:00+00:00,65.33,-1.0,-1.1046,stop_loss
USD/JPY,2019-04-04T01:00:00+00:00,72.62,-1.0,-1.0227,stop_loss
USD/JPY,2019-04-04T07:45:00+00:00,65.06,1.5,1.4693,take_profit
EUR/USD,2019-04-04T09:15:00+00:00,65.46,-1.0,-1.0422,stop_loss
EUR/USD,2019-04-04T12:15:00+00:00,67.16,-1.0,-1.0621,stop_loss
AUD/USD,2019-04-04T12:30:00+00:00,66.7,-1.0,-1.0469,stop_loss
USD/CHF,2019-04-04T12:30:00+00:00,67.03,-0.1064,-0.1649,time_exit
USD/JPY,2019-04-04T12:30:00+00:00,72.39,1.5,1.4917,take_profit
EUR/USD,2019-04-04T13:30:00+00:00,69.25,0.9469,0.9295,time_exit
GBP/USD,2019-04-04T14:45:00+00:00,68.58,-1.0,-1.0336,stop_loss
AUD/USD,2019-04-04T16:00:00+00:00,66.51,0.4974,0.4444,time_exit
GBP/USD,2019-04-04T18:45:00+00:00,76.64,-0.2161,-0.2346,time_exit
EUR/USD,2019-04-05T00:45:00+00:00,65.45,-1.0,-1.0568,stop_loss
USD/JPY,2019-04-05T06:15:00+00:00,67.09,-1.0,-1.0757,stop_loss
GBP/USD,2019-04-05T07:00:00+00:00,68.17,1.5,1.4592,take_profit
USD/JPY,2019-04-05T07:45:00+00:00,70.38,-1.0,-1.0312,stop_loss
GBP/USD,2019-04-05T12:45:00+00:00,69.43,0.1554,0.1412,time_exit
USD/JPY,2019-04-05T12:45:00+00:00,69.94,1.5,1.4579,take_profit
USD/JPY,2019-04-05T15:15:00+00:00,73.78,-0.4868,-0.5016,time_exit
EUR/USD,2019-04-05T15:30:00+00:00,66.82,0.2025,0.1875,time_exit
USD/CAD,2019-04-05T16:00:00+00:00,65.07,0.6201,0.5457,time_exit
EUR/USD,2019-04-08T00:45:00+00:00,65.19,-1.0,-1.0792,stop_loss
USD/JPY,2019-04-08T00:45:00+00:00,68.54,0.3751,0.3624,time_exit
GBP/USD,2019-04-08T04:00:00+00:00,65.71,0.407,0.3443,time_exit
EUR/USD,2019-04-08T09:15:00+00:00,66.12,-1.0,-1.0486,stop_loss
EUR/USD,2019-04-08T10:45:00+00:00,67.88,-1.0,-1.048,stop_loss
EUR/USD,2019-04-08T11:15:00+00:00,67.41,-1.0,-1.0575,stop_loss
EUR/USD,2019-04-08T12:45:00+00:00,67.04,-1.0,-1.0347,stop_loss
USD/JPY,2019-04-08T13:00:00+00:00,69.42,-1.0,-1.0366,stop_loss
GBP/USD,2019-04-08T13:15:00+00:00,71.3,-1.0,-1.0706,stop_loss
USD/JPY,2019-04-08T14:00:00+00:00,71.62,1.5,1.4683,take_profit
USD/JPY,2019-04-08T15:45:00+00:00,70.13,-1.0,-1.0279,stop_loss
USD/CAD,2019-04-08T17:00:00+00:00,68.59,-0.1516,-0.1677,time_exit
EUR/USD,2019-04-08T17:15:00+00:00,68.93,0.0662,0.0132,time_exit
EUR/USD,2019-04-09T02:30:00+00:00,72.83,0.8875,0.8697,time_exit
USD/CAD,2019-04-09T06:45:00+00:00,65.93,-1.0,-1.078,stop_loss
USD/JPY,2019-04-09T08:00:00+00:00,65.49,1.5,1.4646,take_profit
EUR/USD,2019-04-09T11:45:00+00:00,73.84,-1.0,-1.0419,stop_loss
GBP/USD,2019-04-09T11:45:00+00:00,66.8,-1.0,-1.0434,stop_loss
