pair,timestamp,score,gross_r,net_r,exit_reason
USD/JPY,2019-10-28T00:45:00+00:00,73.7,-0.6159,-0.633,time_exit
USD/JPY,2019-10-28T12:45:00+00:00,72.05,0.447,0.433,time_exit
GBP/USD,2019-10-28T17:00:00+00:00,70.35,-1.0,-1.0414,stop_loss
USD/JPY,2019-10-28T22:00:00+00:00,70.27,-0.3055,-0.376,time_exit
USD/JPY,2019-10-29T10:45:00+00:00,71.46,-1.0,-1.043,stop_loss
USD/JPY,2019-10-29T16:15:00+00:00,71.63,-1.0,-1.0231,stop_loss
GBP/USD,2019-10-29T18:30:00+00:00,70.99,0.0697,0.0161,time_exit
EUR/USD,2019-10-30T06:45:00+00:00,71.29,1.5,1.4746,take_profit
EUR/USD,2019-10-30T10:45:00+00:00,72.27,-1.0,-1.0091,stop_loss
USD/JPY,2019-10-30T13:00:00+00:00,71.21,-1.0,-1.0163,stop_loss
EUR/USD,2019-10-30T13:30:00+00:00,70.39,-1.0,-1.0143,stop_loss
USD/JPY,2019-10-30T14:15:00+00:00,73.03,1.5,1.4756,take_profit
AUD/USD,2019-10-30T16:30:00+00:00,70.01,-1.0,-1.0414,stop_loss
AUD/USD,2019-10-30T18:15:00+00:00,72.02,-1.0,-1.0533,stop_loss
EUR/USD,2019-10-31T01:30:00+00:00,71.3,0.0139,0.0,time_exit
USD/CHF,2019-10-31T09:30:00+00:00,74.92,-0.1553,-0.1928,time_exit
EUR/USD,2019-10-31T11:00:00+00:00,71.2,-1.0,-1.0203,stop_loss
EUR/USD,2019-10-31T12:00:00+00:00,73.74,-1.0,-1.009,stop_loss
GBP/USD,2019-10-31T13:15:00+00:00,75.98,-1.0,-1.0386,stop_loss
GBP/USD,2019-10-31T15:30:00+00:00,73.22,-1.0,-1.0514,stop_loss
EUR/USD,2019-10-31T15:45:00+00:00,72.62,-0.1128,-0.1165,time_exit
USD/CAD,2019-10-31T16:00:00+00:00,70.03,0.8515,0.7831,time_exit
GBP/USD,2019-10-31T16:15:00+00:00,70.28,0.2359,0.1878,time_exit
USD/CHF,2019-10-31T18:45:00+00:00,71.98,0.3218,0.2456,time_exit
USD/JPY,2019-10-31T20:30:00+00:00,76.65,0.0926,0.0753,time_exit
EUR/USD,2019-11-01T01:00:00+00:00,71.22,1.5,1.4517,take_profit
EUR/USD,2019-11-01T02:00:00+00:00,76.63,-1.0,-1.0173,stop_loss
USD/JPY,2019-11-01T05:45:00+00:00,79.11,-1.0,-1.0224,stop_loss
USD/CAD,2019-11-01T09:30:00+00:00,70.62,-1.0,-1.0365,stop_loss
USD/JPY,2019-11-01T10:15:00+00:00,74.29,1.5,1.4615,take_profit
EUR/USD,2019-11-01T11:00:00+00:00,73.0,-1.0,-1.0135,stop_loss
USD/JPY,2019-11-01T12:00:00+00:00,78.57,-1.0,-1.0228,stop_loss
AUD/USD,2019-11-01T13:15:00+00:00,70.85,0.4422,0.379,time_exit
EUR/USD,2019-11-01T13:15:00+00:00,71.12,0.4479,0.4365,time_exit
USD/JPY,2019-11-01T13:30:00+00:00,70.4,-1.0,-1.0158,stop_loss
USD/JPY,2019-11-01T17:15:00+00:00,70.77,-0.173,-0.1781,time_exit
AUD/USD,2019-11-04T02:45:00+00:00,72.75,-0.6393,-0.6857,time_exit
EUR/USD,2019-11-04T09:00:00+00:00,73.69,-1.0,-1.0217,stop_loss
USD/JPY,2019-11-04T10:30:00+00:00,71.98,1.0224,1.0111,time_exit
EUR/USD,2019-11-04T18:30:00+00:00,73.21,0.7945,0.7897,time_exit
USD/JPY,2019-11-04T20:00:00+00:00,70.59,-1.0,-1.0538,stop_loss
USD/JPY,2019-11-05T02:15:00+00:00,71.58,-1.0,-1.0144,stop_loss
USD/JPY,2019-11-05T08:15:00+00:00,70.51,-1.0,-1.03,stop_loss
USD/JPY,2019-11-05T14:00:00+00:00,81.17,1.5,1.4849,take_profit
USD/JPY,2019-11-05T15:45:00+00:00,76.16,-0.1414,-0.1441,time_exit
USD/JPY,2019-11-06T01:30:00+00:00,73.17,-0.3271,-0.3338,time_exit
USD/JPY,2019-11-06T10:45:00+00:00,77.5,-1.0,-1.0206,stop_loss
EUR/USD,2019-11-06T13:30:00+00:00,70.55,1.5,1.4693,take_profit
EUR/USD,2019-11-06T17:45:00+00:00,71.82,-1.0,-1.0494,stop_loss
USD/JPY,2019-11-06T18:15:00+00:00,70.33,-1.0,-1.0154,stop_loss
EUR/USD,2019-11-07T03:00:00+00:00,74.53,-1.0,-1.0146,stop_loss
EUR/USD,2019-11-07T08:00:00+00:00,70.67,-1.0,-1.0498,stop_loss
EUR/USD,2019-11-07T09:00:00+00:00,70.13,-1.0,-1.0292,stop_loss
EUR/USD,2019-11-07T11:00:00+00:00,72.05,1.5,1.4883,take_profit
EUR/USD,2019-11-07T13:00:00+00:00,77.51,1.5,1.4875,take_profit
USD/CAD,2019-11-07T13:30:00+00:00,72.79,-0.1448,-0.2004,time_exit
EUR/USD,2019-11-07T15:15:00+00:00,73.58,0.1242,0.1176,time_exit
EUR/USD,2019-11-08T00:30:00+00:00,71.05,-1.0,-1.0384,stop_loss
USD/JPY,2019-11-08T02:45:00+00:00,71.43,1.5,1.4884,take_profit
EUR/USD,2019-11-08T08:15:00+00:00,74.96,1.5,1.4874,take_profit
USD/CHF,2019-11-08T09:30:00+00:00,75.49,1.5,1.436,take_profit
USD/JPY,2019-11-08T10:15:00+00:00,76.29,-1.0,-1.0192,stop_loss
EUR/USD,2019-11-08T11:00:00+00:00,74.63,0.4082,0.4041,time_exit
EUR/USD,2019-11-08T20:15:00+00:00,74.46,-0.3885,-0.4107,time_exit
USD/CHF,2019-11-08T20:45:00+00:00,73.12,-1.0,-1.0648,stop_loss
USD/JPY,2019-11-11T01:30:00+00:00,70.72,-1.0,-1.0328,stop_loss
EUR/USD,2019-11-11T08:00:00+00:00,71.11,-1.0,-1.0651,stop_loss
USD/JPY,2019-11-12T06:15:00+00:00,74.09,-1.0,-1.0118,stop_loss
EUR/USD,2019-11-12T08:00:00+00:00,71.48,1.5,1.486,take_profit
USD/JPY,2019-11-12T14:45:00+00:00,73.16,-1.0,-1.0156,stop_loss
EUR/USD,2019-11-12T15:45:00+00:00,75.13,0.1845,0.1677,time_exit
USD/CAD,2019-11-12T20:00:00+00:00,71.44,0.8349,0.78,time_exit
EUR/USD,2019-11-13T08:00:00+00:00,71.78,-1.0,-1.0069,stop_loss
USD/JPY,2019-11-13T09:30:00+00:00,70.15,-1.0,-1.0274,stop_loss
EUR/USD,2019-11-13T10:30:00+00:00,70.53,1.5,1.4856,take_profit
EUR/USD,2019-11-13T12:45:00+00:00,73.03,0.1445,0.1228,time_exit
USD/CHF,2019-11-13T19:00:00+00:00,72.74,-1.0,-1.0526,stop_loss
EUR/USD,2019-11-14T05:15:00+00:00,71.28,-1.0,-1.0308,stop_loss
EUR/USD,2019-11-14T08:45:00+00:00,71.71,1.5,1.4678,take_profit
USD/JPY,2019-11-14T09:15:00+00:00,78.41,1.5,1.4882,take_profit
EUR/USD,2019-11-14T09:45:00+00:00,75.08,-1.0,-1.0127,stop_loss
AUD/USD,2019-11-14T10:00:00+00:00,71.3,1.5,1.4302,take_profit
AUD/USD,2019-11-14T13:30:00+00:00,74.76,-0.2724,-0.3105,time_exit
USD/CHF,2019-11-14T17:45:00+00:00,71.3,-0.2068,-0.26,time_exit
EUR/USD,2019-11-18T15:00:00+00:00,78.16,1.5,1.4851,take_profit
GBP/USD,2019-11-18T16:30:00+00:00,76.59,-0.759,-0.7906,time_exit
EUR/USD,2019-11-19T12:00:00+00:00,75.18,-0.0069,-0.0137,time_exit
USD/JPY,2019-11-20T10:45:00+00:00,76.63,-1.0,-1.0132,stop_loss
USD/JPY,2019-11-21T08:45:00+00:00,75.87,-1.0,-1.0059,stop_loss
USD/CHF,2019-11-22T14:45:00+00:00,75.2,0.9948,0.9486,time_exit
EUR/USD,2019-11-25T09:30:00+00:00,78.57,0.2924,0.2828,time_exit
EUR/USD,2019-11-25T18:45:00+00:00,76.34,-0.3831,-0.3942,time_exit
USD/JPY,2019-11-26T02:00:00+00:00,78.43,-1.0,-1.0094,stop_loss
USD/JPY,2019-11-26T14:30:00+00:00,76.55,0.0258,0.0194,time_exit
USD/JPY,2019-11-28T14:30:00+00:00,75.48,-0.3607,-0.3864,time_exit
USD/JPY,2019-11-29T08:30:00+00:00,75.1,-1.0,-1.021,stop_loss
EUR/USD,2019-11-29T11:00:00+00:00,75.1,1.5,1.4767,take_profit
USD/JPY,2019-12-02T08:45:00+00:00,75.92,-1.0,-1.0154,stop_loss
EUR/USD,2019-12-03T08:30:00+00:00,75.99,-1.0,-1.0365,stop_loss
USD/JPY,2019-12-04T07:30:00+00:00,79.98,-1.0,-1.0183,stop_loss
USD/JPY,2019-12-04T13:30:00+00:00,75.71,-1.0,-1.0065,stop_loss
EUR/USD,2019-12-05T11:45:00+00:00,77.51,1.5,1.472,take_profit
EUR/USD,2019-12-05T14:45:00+00:00,77.22,0.3942,0.3701,time_exit
GBP/USD,2019-12-05T16:30:00+00:00,75.87,-0.0734,-0.0998,time_exit
GBP/USD,2019-12-06T12:45:00+00:00,75.02,-1.0,-1.0374,stop_loss
USD/JPY,2019-12-09T09:00:00+00:00,75.82,-1.0,-1.0123,stop_loss
GBP/USD,2019-12-10T18:00:00+00:00,75.13,-1.0,-1.0423,stop_loss
EUR/USD,2019-12-10T20:15:00+00:00,77.29,-0.5081,-0.5164,time_exit
USD/JPY,2019-12-13T13:30:00+00:00,70.4,-1.0,-1.0143,stop_loss
USD/JPY,2019-12-16T08:45:00+00:00,75.08,1.5,1.4755,take_profit
USD/JPY,2019-12-16T16:30:00+00:00,74.97,-0.224,-0.2281,time_exit
GBP/USD,2019-12-18T08:00:00+00:00,70.54,0.6095,0.5841,time_exit
USD/JPY,2019-12-19T01:00:00+00:00,71.79,-0.6862,-0.7042,time_exit
GBP/USD,2019-12-20T09:45:00+00:00,70.27,-1.0,-1.0215,stop_loss
AUD/USD,2019-12-20T15:45:00+00:00,74.24,-1.0,-1.0776,stop_loss
GBP/USD,2019-12-20T19:30:00+00:00,70.34,-1.0,-1.0695,stop_loss
EUR/USD,2019-12-20T20:30:00+00:00,74.59,-0.1027,-0.1198,time_exit
EUR/USD,2019-12-23T09:00:00+00:00,72.62,1.5,1.459,take_profit
AUD/USD,2019-12-23T09:15:00+00:00,71.56,0.1865,0.1166,time_exit
GBP/USD,2019-12-23T10:15:00+00:00,70.52,1.5,1.4756,take_profit
EUR/USD,2019-12-23T11:30:00+00:00,71.6,-1.0,-1.0423,stop_loss
EUR/USD,2019-12-23T16:00:00+00:00,72.34,-1.0,-1.0244,stop_loss
EUR/USD,2019-12-23T16:45:00+00:00,72.21,0.123,0.0984,time_exit
EUR/USD,2019-12-24T10:15:00+00:00,76.89,-1.0,-1.0233,stop_loss
EUR/USD,2019-12-24T16:45:00+00:00,72.01,0.457,0.4244,time_exit
USD/CHF,2019-12-24T18:15:00+00:00,70.79,-1.0,-1.058,stop_loss
EUR/USD,2019-12-27T02:00:00+00:00,72.36,1.5,1.4934,take_profit
GBP/USD,2019-12-27T07:45:00+00:00,71.21,1.5,1.4812,take_profit
EUR/USD,2019-12-27T10:30:00+00:00,74.43,1.5,1.4847,take_profit
USD/CAD,2019-12-27T18:15:00+00:00,70.45,0.3735,0.3244,time_exit
EUR/USD,2019-12-30T00:45:00+00:00,75.72,0.4775,0.4663,time_exit
GBP/USD,2019-12-30T06:00:00+00:00,72.28,-1.0,-1.0478,stop_loss
GBP/USD,2019-12-30T08:30:00+00:00,75.35,-1.0,-1.087,stop_loss
GBP/USD,2019-12-30T09:15:00+00:00,74.45,1.5,1.4529,take_profit
EUR/USD,2019-12-30T10:00:00+00:00,77.82,-1.0,-1.0113,stop_loss
EUR/USD,2019-12-30T10:45:00+00:00,77.39,-1.0,-1.0239,stop_loss
USD/JPY,2019-12-30T11:30:00+00:00,74.26,-1.0,-1.0125,stop_loss
USD/CHF,2019-12-30T12:30:00+00:00,71.82,1.5,1.4605,take_profit
EUR/USD,2019-12-30T13:15:00+00:00,71.18,1.5,1.4732,take_profit
USD/JPY,2019-12-30T13:45:00+00:00,73.69,1.5,1.4584,take_profit
AUD/USD,2019-12-30T14:15:00+00:00,71.61,-1.0,-1.1035,stop_loss
GBP/USD,2019-12-30T14:15:00+00:00,82.53,-1.0,-1.0204,stop_loss
USD/JPY,2019-12-30T14:15:00+00:00,71.31,1.5,1.4893,take_profit
EUR/USD,2019-12-30T14:45:00+00:00,76.63,-0.115,-0.1265,time_exit
USD/CAD,2019-12-30T15:00:00+00:00,73.79,1.5,1.4074,take_profit
AUD/USD,2019-12-30T16:00:00+00:00,71.37,0.1036,0.0319,time_exit
GBP/USD,2019-12-30T16:00:00+00:00,73.88,-1.0,-1.0411,stop_loss
USD/CAD,2019-12-30T16:30:00+00:00,71.36,0.0359,-0.009,time_exit
USD/JPY,2019-12-30T19:00:00+00:00,74.27,0.6862,0.6665,time_exit
EUR/USD,2019-12-31T00:00:00+00:00,73.4,1.5,1.4491,take_profit
EUR/USD,2019-12-31T02:15:00+00:00,80.5,-1.0,-1.0081,stop_loss
EUR/USD,2019-12-31T04:00:00+00:00,72.99,1.5,1.4373,take_profit
USD/JPY,2019-12-31T04:15:00+00:00,70.56,0.9881,0.9771,time_exit
GBP/USD,2019-12-31T08:00:00+00:00,72.3,1.5,1.4627,take_profit
EUR/USD,2019-12-31T09:00:00+00:00,73.72,1.5,1.4692,take_profit
USD/CHF,2019-12-31T11:00:00+00:00,73.06,-1.0,-1.0494,stop_loss
EUR/USD,2019-12-31T11:45:00+00:00,71.99,-0.4545,-0.4694,time_exit
USD/JPY,2019-12-31T13:30:00+00:00,79.09,-1.0,-1.0221,stop_loss
USD/JPY,2019-12-31T15:00:00+00:00,78.05,-1.0,-1.0242,stop_loss
USD/JPY,2020-01-02T02:00:00+00:00,73.52,-1.0,-1.0302,stop_loss
USD/JPY,2020-01-02T06:00:00+00:00,73.34,-1.0,-1.0239,stop_loss
USD/CAD,2020-01-02T08:00:00+00:00,76.2,-1.0,-1.0505,stop_loss
AUD/USD,2020-01-02T10:15:00+00:00,70.0,0.7921,0.7255,time_exit
EUR/USD,2020-01-02T10:15:00+00:00,73.16,1.0807,1.0761,time_exit
GBP/USD,2020-01-02T13:30:00+00:00,72.64,1.5,1.4819,take_profit
USD/JPY,2020-01-02T13:45:00+00:00,78.34,1.5,1.4836,take_profit
USD/CAD,2020-01-02T16:00:00+00:00,70.6,-0.0115,-0.0536,time_exit
USD/JPY,2020-01-03T00:15:00+00:00,74.0,1.5,1.4758,take_profit
USD/JPY,2020-01-03T00:45:00+00:00,73.71,1.5,1.4915,take_profit
GBP/USD,2020-01-03T01:45:00+00:00,60.12,-1.0,-1.1171,stop_loss
GBP/USD,2020-01-03T03:00:00+00:00,65.22,-1.0,-1.0685,stop_loss
USD/CAD,2020-01-03T03:45:00+00:00,61.61,1.5,1.4217,take_profit
EUR/USD,2020-01-03T05:45:00+00:00,67.29,-1.0,-1.039,stop_loss
GBP/USD,2020-01-03T06:00:00+00:00,67.57,1.5,1.4541,take_profit
EUR/USD,2020-01-03T07:30:00+00:00,68.49,-1.0,-1.0496,stop_loss
USD/CHF,2020-01-03T07:30:00+00:00,64.06,-1.0,-1.0681,stop_loss
USD/CAD,2020-01-03T08:00:00+00:00,70.38,-1.0,-1.0296,stop_loss
EUR/USD,2020-01-03T09:00:00+00:00,71.49,-1.0,-1.0269,stop_loss
EUR/USD,2020-01-03T10:15:00+00:00,69.22,-1.0,-1.0241,stop_loss
USD/CHF,2020-01-03T10:15:00+00:00,62.87,1.5,1.4083,take_profit
AUD/USD,2020-01-03T11:30:00+00:00,64.39,-1.0,-1.0354,stop_loss
USD/CAD,2020-01-03T12:30:00+00:00,65.3,1.5,1.4177,take_profit
USD/CAD,2020-01-03T13:30:00+00:00,68.33,-1.0,-1.0516,stop_loss
EUR/USD,2020-01-03T15:30:00+00:00,65.62,-1.0,-1.0151,stop_loss
USD/CHF,2020-01-03T15:30:00+00:00,65.67,-1.0,-1.0863,stop_loss
USD/CHF,2020-01-03T16:00:00+00:00,65.65,0.1301,0.052,time_exit
EUR/USD,2020-01-03T16:45:00+00:00,66.68,1.5,1.4725,take_profit
USD/JPY,2020-01-03T18:00:00+00:00,76.84,-0.2185,-0.2247,time_exit
GBP/USD,2020-01-06T00:30:00+00:00,61.69,1.5,1.3875,take_profit
USD/JPY,2020-01-06T03:15:00+00:00,74.38,-1.0,-1.0256,stop_loss
EUR/USD,2020-01-06T06:30:00+00:00,62.06,1.5,1.4724,take_profit
GBP/USD,2020-01-06T07:15:00+00:00,62.45,1.5,1.3843,take_profit
GBP/USD,2020-01-06T08:00:00+00:00,63.83,1.5,1.4301,take_profit
USD/JPY,2020-01-06T08:00:00+00:00,72.52,1.5,1.4546,take_profit
USD/CAD,2020-01-06T08:45:00+00:00,63.35,1.5,1.3295,take_profit
AUD/USD,2020-01-06T09:15:00+00:00,60.04,-1.0,-1.1462,stop_loss
GBP/USD,2020-01-06T09:15:00+00:00,61.45,-1.0,-1.0985,stop_loss
USD/CHF,2020-01-06T09:30:00+00:00,68.24,0.5041,0.4684,time_exit
EUR/USD,2020-01-06T09:45:00+00:00,68.62,0.0805,0.0724,time_exit
GBP/USD,2020-01-06T09:45:00+00:00,65.8,-1.0,-1.0647,stop_loss
USD/CAD,2020-01-06T09:45:00+00:00,69.6,-1.0,-1.0506,stop_loss
USD/JPY,2020-01-06T09:45:00+00:00,77.43,-1.0,-1.0146,stop_loss
GBP/USD,2020-01-06T10:30:00+00:00,62.55,0.3299,0.2757,time_exit
AUD/USD,2020-01-06T14:15:00+00:00,61.4,-1.0,-1.1284,stop_loss
USD/CAD,2020-01-06T15:15:00+00:00,70.88,1.0072,0.9284,time_exit
USD/JPY,2020-01-06T15:30:00+00:00,65.68,-0.2788,-0.2848,time_exit
USD/CHF,2020-01-06T18:45:00+00:00,72.83,-0.2348,-0.2797,time_exit
EUR/USD,2020-01-06T19:00:00+00:00,76.4,0.0926,0.0757,time_exit
GBP/USD,2020-01-06T19:45:00+00:00,73.53,0.3793,0.3432,time_exit
USD/CAD,2020-01-07T00:30:00+00:00,62.78,-1.0,-1.1366,stop_loss
USD/JPY,2020-01-07T03:15:00+00:00,67.7,1.5,1.4677,take_profit
EUR/USD,2020-01-07T04:15:00+00:00,67.86,-1.0,-1.0572,stop_loss
GBP/USD,2020-01-07T05:00:00+00:00,60.1,-1.0,-1.1636,stop_loss
AUD/USD,2020-01-07T06:00:00+00:00,65.81,1.5,1.4694,take_profit
EUR/USD,2020-01-07T06:00:00+00:00,61.83,-1.0,-1.0476,stop_loss
EUR/USD,2020-01-07T07:00:00+00:00,67.69,-1.0,-1.0335,stop_loss
GBP/USD,2020-01-07T07:15:00+00:00,67.16,-1.0,-1.0903,stop_loss
USD/CHF,2020-01-07T07:30:00+00:00,62.32,1.5,1.3609,take_profit
EUR/USD,2020-01-07T07:45:00+00:00,67.14,1.5,1.4721,take_profit
USD/JPY,2020-01-07T07:45:00+00:00,70.51,1.5,1.4888,take_profit
GBP/USD,2020-01-07T08:15:00+00:00,70.6,-1.0,-1.0387,stop_loss
EUR/USD,2020-01-07T08:45:00+00:00,70.2,-1.0,-1.0151,stop_loss
USD/CAD,2020-01-07T08:45:00+00:00,67.92,-1.0,-1.0442,stop_loss
USD/CHF,2020-01-07T08:45:00+00:00,72.95,-1.0,-1.0537,stop_loss
EUR/USD,2020-01-07T10:30:00+00:00,69.55,-1.0,-1.0208,stop_loss
USD/CAD,2020-01-07T10:30:00+00:00,60.05,-1.0,-1.1284,stop_loss
GBP/USD,2020-01-07T11:00:00+00:00,72.68,-1.0,-1.0486,stop_loss
GBP/USD,2020-01-07T12:30:00+00:00,62.33,-0.1494,-0.1667,time_exit
USD/CAD,2020-01-07T13:15:00+00:00,62.17,-1.0,-1.1228,stop_loss
EUR/USD,2020-01-07T14:00:00+00:00,67.41,-1.0,-1.0185,stop_loss
USD/CAD,2020-01-07T14:00:00+00:00,64.04,-1.0,-1.0797,stop_loss
USD/JPY,2020-01-07T14:30:00+00:00,70.96,1.5,1.4835,take_profit
EUR/USD,2020-01-07T15:00:00+00:00,63.16,-1.0,-1.034,stop_loss
EUR/USD,2020-01-07T15:30:00+00:00,63.79,1.5,1.4839,take_profit
USD/CAD,2020-01-07T15:30:00+00:00,61.64,-0.5468,-0.5623,time_exit
USD/CHF,2020-01-07T15:30:00+00:00,65.31,1.5,1.4236,take_profit
USD/JPY,2020-01-07T16:00:00+00:00,70.83,1.5,1.4789,take_profit
AUD/USD,2020-01-08T01:00:00+00:00,71.08,-1.0,-1.0596,stop_loss
AUD/USD,2020-01-08T01:45:00+00:00,65.98,-1.0,-1.0925,stop_loss
AUD/USD,2020-01-08T03:15:00+00:00,63.24,0.4763,0.4117,time_exit
GBP/USD,2020-01-08T03:45:00+00:00,62.8,-1.0,-1.0957,stop_loss
USD/CHF,2020-01-08T07:45:00+00:00,61.47,-1.0,-1.0968,stop_loss
GBP/USD,2020-01-08T08:00:00+00:00,62.98,-1.0,-1.0537,stop_loss
USD/CAD,2020-01-08T08:45:00+00:00,61.81,-1.0,-1.1353,stop_loss
GBP/USD,2020-01-08T09:00:00+00:00,66.44,1.5,1.456,take_profit
EUR/USD,2020-01-08T09:15:00+00:00,70.03,-1.0,-1.0095,stop_loss
USD/CHF,2020-01-08T09:30:00+00:00,63.07,-1.0,-1.091,stop_loss
USD/CHF,2020-01-08T11:15:00+00:00,64.86,1.5,1.438,take_profit
EUR/USD,2020-01-08T11:30:00+00:00,73.28,0.8553,0.8405,time_exit
AUD/USD,2020-01-08T12:30:00+00:00,75.43,-1.0,-1.0515,stop_loss
GBP/USD,2020-01-08T12:45:00+00:00,61.14,1.5,1.4468,take_profit
USD/CHF,2020-01-08T14:00:00+00:00,64.03,-1.0,-1.099,stop_loss
USD/CAD,2020-01-08T15:45:00+00:00,68.55,-0.0604,-0.0906,time_exit
USD/CHF,2020-01-08T16:30:00+00:00,65.4,-1.0,-1.0634,stop_loss
AUD/USD,2020-01-08T18:00:00+00:00,67.76,-0.0523,-0.136,time_exit
USD/CHF,2020-01-08T19:30:00+00:00,60.08,-0.3296,-0.4359,time_exit
EUR/USD,2020-01-08T20:45:00+00:00,72.71,-0.3469,-0.3731,time_exit
AUD/USD,2020-01-09T03:15:00+00:00,68.73,0.4959,0.4162,time_exit
USD/JPY,2020-01-09T05:00:00+00:00,73.74,1.5,1.4852,take_profit
EUR/USD,2020-01-09T06:00:00+00:00,66.01,1.5,1.4226,take_profit
EUR/USD,2020-01-09T08:15:00+00:00,77.82,1.5,1.4759,take_profit
GBP/USD,2020-01-09T09:00:00+00:00,72.59,0.3234,0.2985,time_exit
USD/CAD,2020-01-09T09:45:00+00:00,63.74,1.5,1.4076,take_profit
EUR/USD,2020-01-09T10:00:00+00:00,78.75,-0.3083,-0.3136,time_exit
USD/JPY,2020-01-09T10:00:00+00:00,75.21,0.1313,0.1177,time_exit
USD/CHF,2020-01-09T11:00:00+00:00,61.02,-1.0,-1.1302,stop_loss
AUD/USD,2020-01-09T12:30:00+00:00,72.57,1.5,1.4143,take_profit
USD/CHF,2020-01-09T13:00:00+00:00,63.17,0.1388,0.0777,time_exit
USD/CAD,2020-01-09T13:45:00+00:00,62.97,-1.0,-1.1149,stop_loss
USD/CAD,2020-01-09T14:15:00+00:00,72.4,-0.4399,-0.4702,time_exit
AUD/USD,2020-01-09T15:45:00+00:00,73.46,-0.0475,-0.0949,time_exit
GBP/USD,2020-01-09T18:15:00+00:00,70.84,-0.3859,-0.4373,time_exit
EUR/USD,2020-01-09T19:15:00+00:00,75.26,0.1199,0.0799,time_exit
USD/JPY,2020-01-09T19:15:00+00:00,74.24,0.7786,0.7566,time_exit
AUD/USD,2020-01-10T01:45:00+00:00,65.39,-1.0,-1.0605,stop_loss
USD/JPY,2020-01-10T04:30:00+00:00,75.4,1.5,1.4586,take_profit
EUR/USD,2020-01-10T04:45:00+00:00,61.01,-1.0,-1.1229,stop_loss
AUD/USD,2020-01-10T05:30:00+00:00,63.16,-1.0,-1.1215,stop_loss
EUR/USD,2020-01-10T07:30:00+00:00,69.54,1.5,1.4503,take_profit
EUR/USD,2020-01-10T08:45:00+00:00,72.0,-1.0,-1.0239,stop_loss
USD/CAD,2020-01-10T08:45:00+00:00,65.23,-1.0,-1.0507,stop_loss
USD/JPY,2020-01-10T09:45:00+00:00,75.31,-1.0,-1.0195,stop_loss
USD/CHF,2020-01-10T10:30:00+00:00,70.94,-1.0,-1.0264,stop_loss
EUR/USD,2020-01-10T13:45:00+00:00,75.76,-1.0,-1.0297,stop_loss
USD/CAD,2020-01-10T13:45:00+00:00,63.79,1.5,1.4025,take_profit
USD/JPY,2020-01-10T13:45:00+00:00,77.28,-1.0,-1.0259,stop_loss
GBP/USD,2020-01-10T14:00:00+00:00,69.57,1.5,1.4636,take_profit
AUD/USD,2020-01-10T14:15:00+00:00,64.93,-1.0,-1.0592,stop_loss
USD/JPY,2020-01-10T14:45:00+00:00,77.2,-1.0,-1.0183,stop_loss
AUD/USD,2020-01-10T15:30:00+00:00,60.38,-1.0,-1.0993,stop_loss
EUR/USD,2020-01-10T15:30:00+00:00,66.35,-1.0,-1.0252,stop_loss
USD/CAD,2020-01-10T16:30:00+00:00,65.23,-0.0624,-0.1196,time_exit
EUR/USD,2020-01-10T17:15:00+00:00,67.73,-0.1382,-0.1455,time_exit
USD/JPY,2020-01-10T17:30:00+00:00,75.18,1.5,1.4626,take_profit
AUD/USD,2020-01-10T18:00:00+00:00,60.23,1.5,1.382,take_profit
USD/JPY,2020-01-13T01:15:00+00:00,78.68,1.5,1.4772,take_profit
EUR/USD,2020-01-13T02:45:00+00:00,63.01,-1.0,-1.0484,stop_loss
GBP/USD,2020-01-13T07:30:00+00:00,73.32,0.4799,0.4542,time_exit
USD/CAD,2020-01-13T08:00:00+00:00,64.46,-1.0,-1.0616,stop_loss
USD/JPY,2020-01-13T09:15:00+00:00,77.72,0.4158,0.4064,time_exit
AUD/USD,2020-01-13T09:45:00+00:00,64.97,-1.0,-1.1366,stop_loss
EUR/USD,2020-01-13T09:45:00+00:00,71.36,1.5,1.4722,take_profit
AUD/USD,2020-01-13T11:45:00+00:00,68.19,1.5,1.3859,take_profit
USD/CAD,2020-01-13T13:15:00+00:00,63.42,-1.0,-1.1105,stop_loss
USD/CHF,2020-01-13T14:45:00+00:00,63.88,-1.0,-1.1016,stop_loss
EUR/USD,2020-01-13T15:15:00+00:00,70.09,-1.0,-1.0255,stop_loss
USD/CAD,2020-01-13T15:15:00+00:00,66.25,-1.0,-1.0777,stop_loss
EUR/USD,2020-01-13T15:45:00+00:00,68.59,-1.0,-1.0242,stop_loss
USD/CAD,2020-01-13T15:45:00+00:00,68.92,-0.0352,-0.0705,time_exit
USD/CHF,2020-01-13T16:00:00+00:00,75.7,-0.3262,-0.3417,time_exit
AUD/USD,2020-01-13T16:15:00+00:00,65.41,1.5,1.3966,take_profit
EUR/USD,2020-01-13T16:30:00+00:00,69.78,0.5363,0.5149,time_exit
GBP/USD,2020-01-13T16:45:00+00:00,79.12,-1.0,-1.0273,stop_loss
USD/JPY,2020-01-13T18:30:00+00:00,78.29,1.5,1.4776,take_profit
GBP/USD,2020-01-13T20:30:00+00:00,72.17,0.4848,0.4242,time_exit
USD/JPY,2020-01-14T00:15:00+00:00,77.64,-1.0,-1.0116,stop_loss
GBP/USD,2020-01-14T05:45:00+00:00,65.57,1.5,1.3758,take_profit
EUR/USD,2020-01-14T06:45:00+00:00,62.03,1.5,1.4323,take_profit
